koi_fpflag_co,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_ec,koi_prad,koi_pdisposition,hier_labels_5,hier_labels_10,dbscan_labels_5
0,0,0,0,-0.07997592932952483,CANDIDATE,4,0,0
0,0,0,0,-0.047419410602283385,CANDIDATE,4,1,0
0,0,0,0,-0.08231512801760418,CANDIDATE,4,0,0
0,0,0,0,-0.08414162562336477,CANDIDATE,4,0,0
0,0,0,0,-0.08151403257648111,CANDIDATE,4,0,0
0,0,0,0,-0.08225104038231433,CANDIDATE,4,0,0
0,0,0,0,-0.0857438165056109,CANDIDATE,4,0,0
0,0,0,0,-0.08654491194673397,CANDIDATE,4,0,0
0,0,0,0,-0.08590403559383553,CANDIDATE,4,0,0
0,0,0,0,-0.0748489185063372,CANDIDATE,4,0,0
0,0,0,0,-0.08032841132361897,CANDIDATE,4,0,0
0,0,0,0,-0.07846986990021346,CANDIDATE,4,0,0
0,0,0,0,-0.08196264602351003,CANDIDATE,4,0,0
0,0,0,0,-0.08567972887032106,CANDIDATE,4,0,0
0,0,0,0,-0.05565467173702851,CANDIDATE,4,1,0
0,0,0,0,-0.0834687054528214,CANDIDATE,4,0,0
0,0,0,0,-0.08353279308811123,CANDIDATE,4,0,0
0,0,0,0,-0.08426980089394447,CANDIDATE,4,0,0
0,0,0,0,-0.08385323126456047,CANDIDATE,4,0,0
1,0,1,0,-0.07558592631217043,FALSE POSITIVE,17,1,2
0,0,0,0,-0.08154607639412605,CANDIDATE,4,0,0
0,0,0,0,-0.08167425166470572,CANDIDATE,4,0,0
0,0,0,0,-0.0860001670467703,CANDIDATE,4,0,0
0,0,0,0,-0.08074498095300298,CANDIDATE,4,0,0
0,0,0,0,-0.07939914061191622,CANDIDATE,4,0,0
0,0,0,0,-0.08510294015271246,CANDIDATE,4,0,0
0,0,0,0,-0.07955935970014083,CANDIDATE,4,0,0
0,0,0,0,-0.08100133149416235,CANDIDATE,4,0,0
0,0,0,0,-0.05549445264880389,CANDIDATE,4,0,0
1,0,0,1,1.6420908747262648,FALSE POSITIVE,0,9,-1
0,0,0,0,-0.08087315622358267,CANDIDATE,4,0,0
0,0,0,0,-0.08170629548235064,CANDIDATE,4,0,0
0,0,0,0,-0.05850657150742663,CANDIDATE,4,0,0
1,0,1,1,-0.010825370851781688,FALSE POSITIVE,10,1,3
0,0,0,0,-0.04584926353768217,CANDIDATE,4,1,0
1,0,0,1,-0.07802125645318454,FALSE POSITIVE,11,5,7
0,0,0,0,-0.046970797155254464,CANDIDATE,4,1,0
0,0,1,0,-0.0022376277229424098,FALSE POSITIVE,8,1,1
0,0,0,0,-0.0768356352003224,CANDIDATE,4,0,0
1,0,1,0,-0.07545775104159072,FALSE POSITIVE,17,1,2
0,0,0,0,-0.054276787578296834,CANDIDATE,4,0,0
0,0,1,0,0.005581063782418728,FALSE POSITIVE,8,1,1
0,0,0,0,-0.08112950676474204,CANDIDATE,4,0,0
0,0,0,0,-0.0813538134882565,CANDIDATE,4,0,0
0,0,0,0,-0.08000797314716974,CANDIDATE,4,0,0
0,0,0,0,-0.08401345035278508,CANDIDATE,4,0,0
0,0,0,0,-0.08004001696481466,CANDIDATE,4,0,0
0,1,0,0,-0.023130196827431997,FALSE POSITIVE,1,0,5
0,0,0,0,-0.07943118442956114,CANDIDATE,4,0,0
0,0,0,0,-0.07645110938858334,CANDIDATE,4,0,0
0,0,1,0,-0.004352519687507307,FALSE POSITIVE,8,1,1
0,0,0,0,-0.07722016101206147,CANDIDATE,4,0,0
0,0,1,0,0.05166007355581754,FALSE POSITIVE,8,1,1
0,0,0,0,-0.08269965382934326,CANDIDATE,4,0,0
0,0,0,0,-0.08285987291756787,CANDIDATE,4,0,0
0,0,0,0,-0.08443001998216908,CANDIDATE,4,0,0
0,0,0,0,-0.08209082129408972,CANDIDATE,4,0,0
0,0,0,0,-0.07927096534133653,CANDIDATE,4,0,0
0,0,0,0,-0.056039197548767586,CANDIDATE,4,1,0
1,0,1,0,-0.012940262816346583,FALSE POSITIVE,17,1,2
0,0,0,0,-0.07635497793564856,CANDIDATE,4,0,0
0,0,0,0,-0.08119359440003189,CANDIDATE,4,0,0
0,0,0,0,-0.07968753497072052,CANDIDATE,4,0,0
0,0,0,0,-0.07183679964771446,CANDIDATE,4,0,0
0,0,0,0,-0.0727340265417723,CANDIDATE,4,0,0
0,0,0,0,-0.07664337229445287,CANDIDATE,4,0,0
0,0,0,0,-0.08324439872930693,CANDIDATE,4,0,0
0,0,0,0,-0.0826355661940534,CANDIDATE,4,0,0
0,0,0,0,-0.08548746596445153,CANDIDATE,4,0,0
0,0,0,0,-0.05543036501351406,CANDIDATE,4,1,0
0,0,0,0,-0.08068089331771312,CANDIDATE,4,0,0
0,0,0,0,-0.07946322824720606,CANDIDATE,4,0,0
0,0,0,0,-0.08481454579390815,CANDIDATE,4,0,0
0,0,0,0,-0.0837570998116257,CANDIDATE,4,0,0
0,0,0,0,0.03550998946277651,CANDIDATE,4,0,0
0,0,0,0,-0.07846986990021346,CANDIDATE,4,0,0
0,0,0,0,0.04887226142070927,CANDIDATE,4,0,0
0,0,0,0,-0.08282782909992294,CANDIDATE,4,0,0
0,0,0,0,-0.06664570118923699,CANDIDATE,4,0,0
0,0,0,0,-0.08202673365879988,CANDIDATE,4,0,0
0,0,0,0,-0.08523111542329215,CANDIDATE,4,0,0
0,0,0,0,-0.08356483690575617,CANDIDATE,4,0,0
0,0,1,0,0.10139207854073755,FALSE POSITIVE,8,6,1
0,0,1,0,-0.013837489710404412,FALSE POSITIVE,8,1,1
0,1,0,0,-0.07324672762409107,FALSE POSITIVE,1,6,5
0,0,1,0,-0.04568904444945756,FALSE POSITIVE,8,1,1
0,0,1,0,0.020737789528467155,FALSE POSITIVE,8,2,1
0,0,0,0,0.33851632911316537,CANDIDATE,4,2,0
1,0,1,0,-0.013805445892759494,FALSE POSITIVE,17,6,2
