koi_pdisposition,koi_fpflag_co,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_ec,koi_prad,cluster
FALSE POSITIVE,1,0,0,1,-0.08542337832916168,2
CANDIDATE,0,0,0,0,-0.08692943775847305,0
FALSE POSITIVE,0,0,1,0,0.0777437411187846,1
CANDIDATE,0,0,0,0,-0.08045658659419867,0
CANDIDATE,0,0,0,0,-0.08039249895890882,0
CANDIDATE,0,0,0,0,-0.08359688072340109,0
FALSE POSITIVE,0,1,0,0,-0.07279811417706215,7
CANDIDATE,0,0,0,0,-0.08632060522321952,0
CANDIDATE,0,0,0,0,-0.051264668719674104,0
FALSE POSITIVE,0,0,1,0,-0.0203103408746788,1
CANDIDATE,0,0,1,0,0.0032739089119842987,1
FALSE POSITIVE,0,0,1,0,0.09466287683530378,1
CANDIDATE,0,0,0,0,-0.08660899958202382,0
CANDIDATE,0,0,0,0,-0.07177271201242462,0
CANDIDATE,0,0,0,0,-0.08372505599398078,0
CANDIDATE,0,0,0,0,-0.0816422078470608,0
CANDIDATE,0,0,0,0,-0.08282782909992294,0
CANDIDATE,0,0,0,0,-0.08183447075293035,0
CANDIDATE,0,0,0,0,-0.08638469285850936,0
CANDIDATE,0,0,0,0,-0.08523111542329215,0
CANDIDATE,0,0,0,0,-0.0826355661940534,0
FALSE POSITIVE,0,0,1,0,1.193573559150282,1
FALSE POSITIVE,0,1,0,0,-0.0823471718352491,7
FALSE POSITIVE,1,0,1,0,-0.0796554911530756,5
CANDIDATE,0,0,0,0,0.02605706325752431,0
CANDIDATE,0,0,0,0,-0.08391731889985031,0
FALSE POSITIVE,1,0,1,0,0.007856174835208242,5
FALSE POSITIVE,1,0,1,0,-0.08289191673521279,5
FALSE POSITIVE,1,0,1,0,-0.03700516986768351,5
FALSE POSITIVE,1,0,0,0,-0.0860001670467703,4
CANDIDATE,0,0,0,0,-0.0865769557643789,0
FALSE POSITIVE,0,0,1,0,0.017565451581619804,1
FALSE POSITIVE,1,0,0,1,-0.08625651758792967,2
FALSE POSITIVE,0,0,1,0,0.2249850831972043,1
FALSE POSITIVE,1,0,1,1,-0.06090985783079583,3
CANDIDATE,0,0,0,0,-0.0803604551412639,0
FALSE POSITIVE,0,1,0,0,0.06483008260788076,7
FALSE POSITIVE,0,1,0,0,0.3415284479717881,7
CANDIDATE,0,0,0,0,-0.08462228288803861,0
FALSE POSITIVE,0,0,1,0,0.09511149028233269,1
CANDIDATE,0,0,0,0,-0.08567972887032106,0
CANDIDATE,0,0,0,0,-0.08491067724684291,0
CANDIDATE,0,0,0,0,-0.08337257399988664,0
FALSE POSITIVE,0,0,1,0,0.10187273580541138,1
FALSE POSITIVE,1,0,0,1,-0.08763440174666134,2
FALSE POSITIVE,0,0,1,0,0.035702252368646055,1
CANDIDATE,0,0,0,0,-0.08225104038231433,0
CANDIDATE,0,0,0,0,-0.08712170066434258,0
CANDIDATE,0,0,0,0,-0.07581023303568489,0
CANDIDATE,0,0,0,0,-0.0872819197525672,0
FALSE POSITIVE,0,0,1,0,1.7840449868932722,1
CANDIDATE,0,0,0,0,0.005613107600063656,0
CANDIDATE,0,0,0,0,-0.07609862739448918,0
CANDIDATE,0,0,0,0,-0.06539599230108502,0
CANDIDATE,0,0,0,0,-0.0823471718352491,0
FALSE POSITIVE,0,0,0,1,-0.08632060522321952,6
CANDIDATE,0,0,0,0,-0.0851670277880023,0
CANDIDATE,0,0,0,0,-0.0872819197525672,0
CANDIDATE,0,0,0,0,-0.08253943474111863,0
FALSE POSITIVE,0,0,1,0,-0.054469050484166365,1
CANDIDATE,0,0,0,0,-0.08398140653514016,0
FALSE POSITIVE,0,0,1,0,0.12667465066258154,1
FALSE POSITIVE,0,1,0,0,-0.08193060220586511,7
CANDIDATE,0,0,0,0,-0.05120058108438426,0
FALSE POSITIVE,0,0,1,0,-0.00903091706366601,1
CANDIDATE,0,0,0,0,-0.061070076919020444,0
CANDIDATE,0,0,0,0,-0.08295600437050263,0
FALSE POSITIVE,1,1,0,0,0.34450852301276597,10
FALSE POSITIVE,1,1,0,0,-0.0867051310349586,10
CANDIDATE,0,0,0,0,-0.08481454579390815,0
CANDIDATE,0,0,0,0,-0.07907870243546698,0
CANDIDATE,0,0,0,0,-0.0813538134882565,0
FALSE POSITIVE,1,0,1,1,-0.08039249895890882,3
CANDIDATE,0,0,0,0,-0.07997592932952483,0
CANDIDATE,0,0,0,0,-0.08561564123503122,0
CANDIDATE,0,0,0,0,-0.08606425468206014,0
CANDIDATE,0,0,0,0,-0.08465432670568354,0
CANDIDATE,0,0,0,0,-0.066229131559853,0
FALSE POSITIVE,0,1,0,0,0.09299659831776778,7
FALSE POSITIVE,1,1,0,0,-0.08596812322912536,10
CANDIDATE,0,0,0,0,-0.014318146975078258,0
FALSE POSITIVE,1,0,0,1,-0.059596061307354,2
FALSE POSITIVE,0,0,0,1,-0.08519907160564723,6
CANDIDATE,0,0,0,0,-0.08507089633506752,0
CANDIDATE,0,0,0,0,-0.08487863342919799,0
FALSE POSITIVE,1,0,0,1,-0.08641673667615428,2
CANDIDATE,0,0,0,0,-0.06488329121876624,0
FALSE POSITIVE,0,0,0,1,-0.08039249895890882,6
CANDIDATE,0,0,0,0,-0.08330848636459678,0
