koi_fpflag_co,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_ec,koi_prad,koi_depth,koi_teq,koi_impact,koi_insol,koi_model_snr,koi_pdisposition,hier_labels_5,hier_labels_10,dbscan_labels_5
0,0,0,0,-0.08526315924093707,-0.3121322846422972,-0.5825911231221427,0.4270530295483764,-0.047838899939944925,-0.32860188740877894,CANDIDATE,4,0,0
0,0,0,0,-0.08561564123503122,-0.30723123270133873,-0.7657532334975025,0.11496883539022737,-0.0480039787821708,-0.33002186900951347,CANDIDATE,4,0,0
0,0,0,0,-0.06594073720104869,-0.21287892758077498,-0.16190911477615486,-0.12231832049861313,-0.04665700882428827,0.08993768940771772,CANDIDATE,4,0,0
0,0,0,0,-0.08202673365879988,-0.30175164967713847,-0.7161222100409533,-0.2822292299019622,-0.04797201658252864,-0.31085211739959756,CANDIDATE,4,0,0
0,0,0,0,-0.05828226478391217,-0.21964962265660007,0.5163815391300164,-0.7000609609236164,-0.0394016486947772,0.5974627798702437,CANDIDATE,4,0,0
0,0,0,0,-0.0458813073553271,-0.0578960945860025,-0.589681269330221,-0.20743219163265383,-0.04784807427502739,0.05408315398917134,CANDIDATE,4,0,0
1,1,0,0,-0.03348034992674202,-0.309561819300902,-0.3592515175676716,0.7172139538689696,-0.04739782158488315,-0.33203350961055406,FALSE POSITIVE,12,5,6
0,0,0,0,-0.08122563821767681,-0.30136361053593974,-0.4549684913767306,-0.7671203745443755,-0.04762694320491054,-0.285055784986254,CANDIDATE,4,0,0
0,0,1,0,-0.046906709519964625,-0.1144204628206174,-0.3533430623942729,-0.43569211876485364,-0.047380952646183125,0.4047002775705339,FALSE POSITIVE,8,0,1
0,0,0,0,-0.06094190164844076,-0.1891121181204455,-0.9855477659479343,-0.3093109161718843,-0.048074473189159334,-0.18459208673428745,CANDIDATE,4,0,0
0,0,0,0,-0.08692943775847305,-0.31269905696368444,-0.143002058221279,0.03501338068855276,-0.04656982304637549,-0.33179684601043163,CANDIDATE,4,0,0
0,0,0,0,-0.050399485643261195,-0.07488750546576504,-0.8638335893759209,-0.5091995529260707,-0.048047068562429116,0.06201138459327234,CANDIDATE,4,0,0
1,0,0,1,-0.007140331822615572,-0.3037588703257028,0.38757721634992465,0.7816941592735459,-0.04154270174599155,-0.3029238867954966,FALSE POSITIVE,11,5,7
1,0,0,1,-0.08401345035278508,-0.30642693339049043,-0.2647162347932923,-0.7800164156252908,-0.0470900966294395,-0.2914457021895593,FALSE POSITIVE,11,5,7
0,0,0,0,-0.053251385413659307,-0.1364563825359634,0.46911389774282675,-0.13521436157952837,-0.0402184012741515,0.8454862327985379,CANDIDATE,4,1,0
0,0,0,0,-0.08144994494119127,-0.30149413279252474,-0.30253034790304406,-0.7942020608142976,-0.047226054356435856,-0.2652943743760321,CANDIDATE,4,0,0
0,0,0,0,-0.07853395753550331,-0.28859712279050154,-0.7373926486651887,-0.4627738050347757,-0.04798616281533322,-0.25594616217119653,CANDIDATE,4,0,0
0,0,0,0,-0.08295600437050263,-0.2941578412714979,-0.5743192858793844,-0.19711535876792155,-0.04782830506265613,-0.26411105637542,CANDIDATE,4,0,0
1,0,1,0,0.0075036928411140935,-0.2976078619996102,0.21741370735604196,0.8203822825162914,-0.043763541917794094,-0.272039286979521,FALSE POSITIVE,17,1,2
0,0,0,0,-0.07946322824720606,-0.3028475662819785,-0.5211431893187961,-0.6949025444912502,-0.0477489914561367,-0.2942856653910283,CANDIDATE,4,0,0
0,0,0,0,-0.08401345035278508,-0.3117007380822368,0.14178548113653855,-0.1158702999581555,-0.04454324202128694,-0.2889607343882739,CANDIDATE,4,0,0
0,0,0,0,-0.08061680568242328,-0.308440033419982,-0.3214374044579199,0.425763425440285,-0.04728417820837771,-0.3151120622018011,CANDIDATE,4,0,0
0,0,0,0,-0.07657928465916303,-0.30167874535364053,-0.6995785355554369,0.3767584693328069,-0.047958639810085815,-0.3018589005949457,CANDIDATE,4,0,0
0,0,0,0,-0.052354158519601485,-0.050723249854753266,-0.19735984581654709,-0.6433183801675892,-0.04682569821128854,2.013894426602917,CANDIDATE,4,1,0
0,0,0,0,-0.06507555412463578,-0.2601632607501183,-0.7456644859079469,0.4064193638189121,-0.0479918449841585,-0.2579578027722371,CANDIDATE,4,0,0
0,0,0,0,-0.07177271201242462,-0.2842863606946393,-0.21035844719802424,-0.1313455492552538,-0.04687737043404336,-0.214885027549957,CANDIDATE,4,0,0
0,0,0,0,-0.08369301217633586,-0.2994528117345824,-0.9607322542196597,-0.2615955641724978,-0.04807074426586775,-0.3162953802024132,CANDIDATE,4,0,0
0,0,0,0,-0.08273169764698816,-0.2950350449058441,-0.8059307286766136,-0.0591277192021285,-0.04802469502267961,-0.2820974899847238,CANDIDATE,4,0,0
0,0,1,0,-0.0013404008288845713,0.6611169165315338,-0.758663087289424,-0.15197921498471822,-0.04799948039851746,1.1894767755764728,FALSE POSITIVE,8,1,1
0,0,1,0,0.0069589479411504025,-0.28453917407451124,0.015344540425806264,0.8526223852185797,-0.04559479838951391,0.0024904891624841345,FALSE POSITIVE,8,1,1
1,0,1,1,-0.04572108826710248,-0.30611179857278964,-0.1311851478744816,0.6475753320320272,-0.04650820702817644,-0.18530207753465472,FALSE POSITIVE,10,1,3
0,0,0,0,-0.08020023605303928,-0.308296576525357,-0.31671064031920093,-0.5749693624387383,-0.04727086062519347,-0.2217482719535071,CANDIDATE,4,0,0
0,0,0,0,-0.07863008898843808,-0.29953394719137844,-0.59440803346894,-0.7297218554097213,-0.04785434833643863,-0.30410720479610864,CANDIDATE,4,0,0
0,0,1,0,-0.05632759190757189,-0.13523347130309468,-0.3876121023999854,0.14720893809251553,-0.0474715714010945,0.11147407701885777,FALSE POSITIVE,8,1,1
0,0,0,0,-0.054180656125362076,-0.13301106531259288,-0.64049398382145,0.0943351696607631,-0.047906375694745026,-0.15240583711763858,CANDIDATE,4,0,0
0,0,0,0,-0.08269965382934326,-0.30291459122454917,-0.5376868638043125,-0.7374594800582704,-0.047774502026591836,-0.30233222779519053,CANDIDATE,4,0,0
0,0,0,0,-0.08478250197626322,-0.30844591280090927,-0.3769768830878677,-0.46535301325095874,-0.04744292379993375,-0.3236319518062082,CANDIDATE,4,0,0
0,0,0,0,-0.0816422078470608,-0.30417513049535233,-0.2694429989320113,-0.12231832049861313,-0.04710856367812163,-0.26505771077590967,CANDIDATE,4,0,0
1,0,0,0,-0.07709198574148178,-0.3020385634663884,-0.11227809131960576,0.41544659257555266,-0.04640468501489101,-0.28931572978845754,FALSE POSITIVE,3,5,4
1,0,0,1,-0.0053458780344999065,-0.29950455028674217,0.1406037901018588,0.80232782500301,-0.04455241635636942,-0.21843498155179328,FALSE POSITIVE,11,5,7
0,0,0,0,-0.06065350728963644,-0.185666800897075,-0.143002058221279,0.1510777504167901,-0.046564259256067414,0.3235246627285446,CANDIDATE,4,0,0
0,0,0,0,-0.0734389905299606,-0.2771217470966882,-0.6286770734746525,0.19879310241617656,-0.04789376838266395,-0.24636128636623864,CANDIDATE,4,0,0
0,0,0,0,-0.08606425468206014,-0.3127672577824406,-0.08037243338325274,0.11238962717404433,-0.04622770913168722,-0.331441850610248,CANDIDATE,4,0,0
0,0,0,0,-0.06863241788322219,-0.2536935899777686,-0.7811152169483391,0.23103320511846456,-0.04801250203540871,-0.21015175554750865,CANDIDATE,4,0,0
