koi_pdisposition,koi_fpflag_co,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_ec,koi_prad,koi_depth,koi_teq,koi_impact,koi_insol,koi_model_snr
CANDIDATE,0,0,0,0,1.85,895.5,349.0,0.045,3.49,21.6
CANDIDATE,0,0,0,0,1.62,575.8,728.0,0.649,66.47,28.1
CANDIDATE,0,0,0,0,1.75,634.1,559.0,0.714,23.11,21.4
FALSE POSITIVE,1,0,1,0,4.33,1692.9,950.0,0.949,192.74,119.4
CANDIDATE,0,0,0,0,2.47,867.0,782.0,0.45,88.23,47.7
CANDIDATE,0,0,0,0,2.43,763.3,579.0,0.653,26.49,23.8
CANDIDATE,0,0,0,0,1.08,175.2,938.0,0.093,182.76,12.9
CANDIDATE,0,0,0,0,2.72,973.5,655.0,0.395,43.57,55.9
CANDIDATE,0,0,0,0,3.14,1015.8,536.0,0.839,19.55,44.8
CANDIDATE,0,0,0,0,1.36,251.3,990.0,0.11,227.24,21.2
CANDIDATE,0,0,0,0,3.09,363.4,743.0,0.125,71.97,63.1
CANDIDATE,0,0,0,0,2.64,952.5,360.0,0.028,3.97,22.7
CANDIDATE,0,0,0,0,10.6,7912.7,1162.0,0.061,431.02,633.4
FALSE POSITIVE,1,0,0,1,540.37,4147.6,438.0,9.303,8.71,54.5
CANDIDATE,0,0,0,0,2.68,1151.4,850.0,0.314,123.33,77.4
CANDIDATE,0,0,0,0,2.42,863.7,1194.0,0.095,480.19,69.2
CANDIDATE,0,0,0,0,9.66,7163.3,1062.0,0.535,301.54,502.3
FALSE POSITIVE,1,0,1,1,24.54,1695.0,1076.0,1.252,317.36,203.5
CANDIDATE,0,0,0,0,13.61,16653.0,1212.0,0.348,508.65,1173.9
FALSE POSITIVE,1,0,0,1,3.57,1030.9,1158.0,0.864,425.74,90.1
CANDIDATE,0,0,0,0,13.26,23530.0,484.0,0.003,13.01,1077.8
FALSE POSITIVE,0,0,1,0,27.22,59130.0,606.0,0.408,31.86,1667.3
CANDIDATE,0,0,0,0,3.94,1398.2,1155.0,0.799,421.03,123.5
FALSE POSITIVE,1,0,1,0,4.37,969.7,952.0,0.985,194.18,45.4
CANDIDATE,0,0,0,0,10.98,15664.0,472.0,0.062,11.74,690.3
FALSE POSITIVE,0,0,1,0,29.66,66068.0,549.0,0.203,21.4,1843.8
CANDIDATE,0,0,0,0,2.6,1144.9,543.0,0.751,20.48,49.9
CANDIDATE,0,0,0,0,2.53,1110.7,680.0,0.168,50.6,55.0
CANDIDATE,0,0,0,0,2.95,1506.9,563.0,0.206,23.77,60.7
CANDIDATE,0,0,0,0,1.7,426.1,949.0,0.691,191.78,25.6
CANDIDATE,0,0,0,0,2.94,697.5,964.0,0.933,204.1,48.1
FALSE POSITIVE,0,1,0,0,20.7,13494.0,745.0,0.023,72.71,529.9
CANDIDATE,0,0,0,0,3.13,1240.2,982.0,0.001,219.95,79.7
CANDIDATE,0,0,0,0,4.06,1012.6,577.0,0.938,26.13,26.6
FALSE POSITIVE,0,0,1,0,26.56,40293.0,700.0,0.886,56.84,1398.8
CANDIDATE,0,0,0,0,3.82,1473.4,1273.0,0.032,621.92,128.3
FALSE POSITIVE,0,0,1,0,44.04,20953.0,652.0,1.245,42.8,547.8
CANDIDATE,0,0,0,0,2.11,280.1,1315.0,0.433,705.93,30.6
CANDIDATE,0,0,0,0,2.06,273.6,1097.0,0.341,341.48,25.2
CANDIDATE,0,0,0,0,1.57,159.6,1681.0,0.271,1893.42,22.7
CANDIDATE,0,0,0,0,2.3,307.8,897.0,0.646,152.75,21.9
CANDIDATE,0,0,0,0,3.18,2090.3,784.0,0.041,89.25,293.7
CANDIDATE,0,0,0,0,10.43,11382.0,1145.0,0.079,406.6,1838.4
FALSE POSITIVE,1,0,1,0,23.88,1037.4,1079.0,1.234,319.76,37.2
CANDIDATE,0,0,0,0,4.09,1539.1,1013.0,0.033,248.57,81.1
CANDIDATE,0,0,0,0,2.58,611.3,787.0,0.021,90.65,25.6
CANDIDATE,0,0,0,0,3.05,796.8,686.0,0.508,52.38,26.7
CANDIDATE,0,0,0,0,5.5,1910.5,781.0,0.066,87.76,117.0
