koi_pdisposition,koi_fpflag_co,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_ec,koi_prad,cluster
FALSE POSITIVE,1,0,0,1,-0.059596061307354,5
FALSE POSITIVE,0,0,0,1,-0.08519907160564723,5
CANDIDATE,0,0,0,0,-0.08507089633506752,2
CANDIDATE,0,0,0,0,-0.08487863342919799,2
FALSE POSITIVE,1,0,0,1,-0.08641673667615428,5
CANDIDATE,0,0,0,0,-0.06488329121876624,2
FALSE POSITIVE,0,0,0,1,-0.08039249895890882,5
CANDIDATE,0,0,0,0,-0.08330848636459678,2
FALSE POSITIVE,0,0,1,0,-0.010184494498883236,0
CANDIDATE,0,0,0,0,-0.07927096534133653,2
CANDIDATE,0,0,0,0,-0.08401345035278508,2
CANDIDATE,0,0,0,0,-0.08273169764698816,2
CANDIDATE,0,0,0,0,-0.0861603861349949,2
CANDIDATE,0,0,0,0,-0.08734600738785704,2
FALSE POSITIVE,0,1,0,0,0.20710463295133744,4
CANDIDATE,0,0,0,0,-0.0860001670467703,2
FALSE POSITIVE,0,0,1,0,0.04762255253255729,0
FALSE POSITIVE,0,0,1,0,0.1314171356740301,0
FALSE POSITIVE,0,0,1,0,0.6486043524630822,0
CANDIDATE,0,0,0,0,-0.08564768505267613,2
FALSE POSITIVE,1,1,0,0,-0.08676921867024844,3
CANDIDATE,0,0,0,0,-0.08468637052332846,2
CANDIDATE,0,0,0,0,-0.08343666163517648,2
FALSE POSITIVE,0,1,0,0,0.1701260673890967,4
CANDIDATE,0,0,0,0,-0.08311622345872724,2
CANDIDATE,0,0,0,0,-0.08388527508220539,2
FALSE POSITIVE,1,0,0,1,-0.08580790414090075,5
FALSE POSITIVE,0,0,1,0,0.20886704292180822,0
FALSE POSITIVE,0,0,1,0,-0.06376175760119396,0
FALSE POSITIVE,0,1,0,0,-0.08692943775847305,4
FALSE POSITIVE,1,0,0,1,-0.00871047888721679,5
FALSE POSITIVE,0,0,1,0,0.12247691055109666,0
FALSE POSITIVE,0,1,0,0,-0.08302009200579248,4
FALSE POSITIVE,0,0,1,0,0.13237845020337777,0
FALSE POSITIVE,0,1,0,0,0.31288127499722723,4
FALSE POSITIVE,0,0,1,0,0.09142645125316659,0
FALSE POSITIVE,0,0,1,0,0.11142179346359833,0
CANDIDATE,0,0,0,0,-0.08548746596445153,2
CANDIDATE,0,0,0,0,-0.07449643651224304,2
FALSE POSITIVE,0,0,1,0,0.010643986970316505,0
CANDIDATE,0,0,0,0,-0.08020023605303928,2
CANDIDATE,0,0,0,0,-0.08253943474111863,2
CANDIDATE,0,0,0,0,-0.08180242693528542,2
CANDIDATE,0,0,0,0,0.14240816512623858,2
